time		totalmass			KE			PE
0.05		100000			9.90353e-11			1.57681
0.1		100000			2.18559e-10			1.58443
0.15		100000			1.84342e-10			1.59197
0.2		100000			2.38534e-10			1.59945
0.25		100000			2.51023e-10			1.60688
0.3		100000			2.89527e-10			1.61426
0.35		100000			3.12685e-10			1.62159
0.4		100000			3.46373e-10			1.62889
0.45		100000			3.73982e-10			1.63614
0.5		100000			4.07559e-10			1.64336
0.55		100000			4.367e-10			1.65055
0.6		100000			4.69564e-10			1.65769
0.65		100000			5.00775e-10			1.66481
0.7		100000			5.34106e-10			1.6719
0.75		100000			5.66907e-10			1.67895
0.8		100000			6.01068e-10			1.68597
0.85		100000			6.35274e-10			1.69297
0.9		100000			6.7046e-10			1.69993
0.95		100000			7.05981e-10			1.70687
1		100000			7.42301e-10			1.71378
1.05		100000			7.79098e-10			1.72066
1.1		100000			8.16611e-10			1.72751
1.15		100000			8.54671e-10			1.73434
1.2		100000			8.9341e-10			1.74114
1.25		100000			9.32732e-10			1.74791
1.3		100000			9.72715e-10			1.75466
1.35		100000			1.0133e-09			1.76139
1.4		100000			1.05454e-09			1.76809
1.45		100000			1.0964e-09			1.77476
1.5		100000			1.1389e-09			1.78141
1.55		100000			1.18203e-09			1.78803
1.6		100000			1.22581e-09			1.79463
1.65		100000			1.27022e-09			1.80121
1.7		100000			1.31527e-09			1.80776
1.75		100000			1.36095e-09			1.81429
1.8		100000			1.40729e-09			1.82079
1.85		100000			1.45425e-09			1.82728
1.9		100000			1.50187e-09			1.83373
1.95		100000			1.55012e-09			1.84017
2		100000			1.59902e-09			1.84658
2.05		100000			1.64856e-09			1.85297
2.1		100000			1.69874e-09			1.85934
2.15		100000			1.74957e-09			1.86568
2.2		100000			1.80105e-09			1.872
2.25		100000			1.85316e-09			1.8783
2.3		100000			1.90593e-09			1.88458
2.35		100000			1.95934e-09			1.89083
2.4		100000			2.01339e-09			1.89707
2.45		100000			2.06809e-09			1.90328
2.5		100000			2.12344e-09			1.90946
2.55		100000			2.17943e-09			1.91563
2.6		100000			2.23608e-09			1.92177
2.65		100000			2.29337e-09			1.9279
2.7		100000			2.3513e-09			1.934
2.75		100000			2.40989e-09			1.94008
2.8		100000			2.46912e-09			1.94613
2.85		100000			2.529e-09			1.95217
2.9		100000			2.58953e-09			1.95818
2.95		100000			2.65071e-09			1.96418
3		100000			2.71254e-09			1.97015
3.05		100000			2.77502e-09			1.9761
3.1		100000			2.83814e-09			1.98203
3.15		100000			2.90192e-09			1.98794
3.2		100000			2.96635e-09			1.99382
3.25		100000			3.03142e-09			1.99969
3.3		100000			3.09715e-09			2.00553
3.35		100000			3.16353e-09			2.01136
3.4		100000			3.23056e-09			2.01716
3.45		100000			3.29824e-09			2.02294
3.5		100000			3.36657e-09			2.0287
3.55		100000			3.43555e-09			2.03444
3.6		100000			3.50518e-09			2.04016
3.65		100000			3.57546e-09			2.04586
3.7		100000			3.6464e-09			2.05153
3.75		100000			3.71799e-09			2.05719
3.8		100000			3.79023e-09			2.06283
3.85		100000			3.86312e-09			2.06844
3.9		100000			3.93667e-09			2.07404
3.95		100000			4.01086e-09			2.07961
4		100000			4.08572e-09			2.08516
4.05		100000			4.16122e-09			2.09069
4.1		100000			4.23738e-09			2.09621
4.15		100000			4.31419e-09			2.1017
4.2		100000			4.39165e-09			2.10717
4.25		100000			4.46977e-09			2.11262
4.3		100000			4.54854e-09			2.11805
4.35		100000			4.62797e-09			2.12346
4.4		100000			4.70805e-09			2.12885
4.45		100000			4.78878e-09			2.13421
4.5		100000			4.87017e-09			2.13956
4.55		100000			4.95222e-09			2.14489
4.6		100000			5.03491e-09			2.1502
4.65		100000			5.11827e-09			2.15549
4.7		100000			5.20228e-09			2.16075
4.75		100000			5.28694e-09			2.166
4.8		100000			5.37226e-09			2.17122
4.85		100000			5.45824e-09			2.17643
4.9		100000			5.54487e-09			2.18162
4.95		100000			5.63216e-09			2.18678
5		100000			5.72011e-09			2.19193
5.05		100000			5.80871e-09			2.19705
5.1		100000			5.89797e-09			2.20216
5.15		100000			5.98788e-09			2.20724
5.2		100000			6.07845e-09			2.2123
5.25		100000			6.16968e-09			2.21735
5.3		100000			6.26157e-09			2.22237
5.35		100000			6.35412e-09			2.22738
5.4		100000			6.44732e-09			2.23236
5.45		100000			6.54118e-09			2.23732
5.5		100000			6.6357e-09			2.24227
5.55		100000			6.73088e-09			2.24719
5.6		100000			6.82671e-09			2.2521
5.65		100000			6.92321e-09			2.25698
5.7		100000			7.02036e-09			2.26184
5.75		100000			7.11818e-09			2.26669
5.8		100000			7.21665e-09			2.27151
5.85		100000			7.31578e-09			2.27631
5.9		100000			7.41558e-09			2.28109
5.95		100000			7.51603e-09			2.28586
6		100000			7.61714e-09			2.2906
6.05		100000			7.71892e-09			2.29532
6.1		100000			7.82135e-09			2.30003
6.15		100000			7.92445e-09			2.30471
6.2		100000			8.0282e-09			2.30937
6.25		100000			8.13262e-09			2.31402
6.3		100000			8.2377e-09			2.31864
6.35		100000			8.34344e-09			2.32324
6.4		100000			8.44984e-09			2.32783
6.45		100000			8.5569e-09			2.33239
6.5		100000			8.66463e-09			2.33693
6.55		100000			8.77301e-09			2.34146
6.6		100000			8.88206e-09			2.34596
6.65		100000			8.99177e-09			2.35045
6.7		100000			9.10214e-09			2.35491
6.75		100000			9.21317e-09			2.35935
6.8		100000			9.32487e-09			2.36378
6.85		100000			9.43722e-09			2.36818
6.9		100000			9.55024e-09			2.37257
6.95		100000			9.66392e-09			2.37693
7		100000			9.77825e-09			2.38128
7.05		100000			9.89325e-09			2.3856
7.1		100000			1.00089e-08			2.38991
7.15		100000			1.01252e-08			2.39419
7.2		100000			1.02422e-08			2.39846
7.25		100000			1.03598e-08			2.4027
7.3		100000			1.04781e-08			2.40693
7.35		100000			1.05971e-08			2.41114
7.4		100000			1.07167e-08			2.41532
7.45		100000			1.0837e-08			2.41949
7.5		100000			1.09579e-08			2.42364
7.55		100000			1.10795e-08			2.42776
7.6		100000			1.12017e-08			2.43187
7.65		100000			1.13246e-08			2.43596
7.7		100000			1.14481e-08			2.44002
7.75		100000			1.15723e-08			2.44407
7.8		100000			1.16972e-08			2.4481
7.85		100000			1.18227e-08			2.45211
7.9		100000			1.19488e-08			2.4561
