time		totalmass			KE			PE
0.05		100000			1.54193e-11			1.08405
0.1		100000			1.663e-11			1.08928
0.15		100000			1.48338e-11			1.09446
0.2		100000			2.24164e-11			1.0996
0.25		100000			2.12729e-11			1.1047
0.3		100000			2.70453e-11			1.10977
0.35		100000			2.76404e-11			1.11481
0.4		100000			3.21559e-11			1.11982
0.45		100000			3.38231e-11			1.12481
0.5		100000			3.7679e-11			1.12977
0.55		100000			3.99767e-11			1.1347
0.6		100000			4.35209e-11			1.13962
0.65		100000			4.62137e-11			1.14451
0.7		100000			4.96363e-11			1.14937
0.75		100000			5.26642e-11			1.15422
0.8		100000			5.60394e-11			1.15905
0.85		100000			5.91992e-11			1.16385
0.9		100000			6.26646e-11			1.16864
0.95		100000			6.59639e-11			1.1734
1		100000			6.95181e-11			1.17815
1.05		100000			7.29614e-11			1.18288
1.1		100000			7.66078e-11			1.18759
1.15		100000			8.01933e-11			1.19228
1.2		100000			8.39384e-11			1.19695
1.25		100000			8.76618e-11			1.20161
1.3		100000			9.15123e-11			1.20625
1.35		100000			9.53693e-11			1.21087
1.4		100000			9.93308e-11			1.21547
1.45		100000			1.03318e-10			1.22006
1.5		100000			1.07395e-10			1.22462
1.55		100000			1.1151e-10			1.22918
1.6		100000			1.15705e-10			1.23371
1.65		100000			1.19946e-10			1.23823
1.7		100000			1.24262e-10			1.24273
1.75		100000			1.28628e-10			1.24722
1.8		100000			1.33065e-10			1.25169
1.85		100000			1.37557e-10			1.25614
1.9		100000			1.42116e-10			1.26058
1.95		100000			1.46732e-10			1.265
2		100000			1.51415e-10			1.26941
2.05		100000			1.56156e-10			1.2738
2.1		100000			1.60962e-10			1.27817
2.15		100000			1.65827e-10			1.28253
2.2		100000			1.70757e-10			1.28688
2.25		100000			1.75747e-10			1.2912
2.3		100000			1.80801e-10			1.29552
2.35		100000			1.85916e-10			1.29981
2.4		100000			1.91094e-10			1.3041
2.45		100000			1.96334e-10			1.30836
2.5		100000			2.01637e-10			1.31262
2.55		100000			2.07001e-10			1.31685
2.6		100000			2.12428e-10			1.32107
2.65		100000			2.17918e-10			1.32528
2.7		100000			2.2347e-10			1.32947
2.75		100000			2.29084e-10			1.33365
2.8		100000			2.34761e-10			1.33781
2.85		100000			2.405e-10			1.34196
2.9		100000			2.46302e-10			1.34609
2.95		100000			2.52166e-10			1.35021
3		100000			2.58094e-10			1.35431
3.05		100000			2.64083e-10			1.3584
3.1		100000			2.70135e-10			1.36248
3.15		100000			2.7625e-10			1.36654
3.2		100000			2.82427e-10			1.37058
3.25		100000			2.88668e-10			1.37461
3.3		100000			2.9497e-10			1.37863
3.35		100000			3.01336e-10			1.38263
3.4		100000			3.07764e-10			1.38661
3.45		100000			3.14255e-10			1.39059
3.5		100000			3.20808e-10			1.39454
3.55		100000			3.27425e-10			1.39849
3.6		100000			3.34104e-10			1.40242
3.65		100000			3.40846e-10			1.40633
3.7		100000			3.47651e-10			1.41023
3.75		100000			3.54518e-10			1.41412
3.8		100000			3.61449e-10			1.41799
3.85		100000			3.68442e-10			1.42185
3.9		100000			3.75499e-10			1.42569
3.95		100000			3.82618e-10			1.42952
4		100000			3.898e-10			1.43334
4.05		100000			3.97045e-10			1.43714
4.1		100000			4.04353e-10			1.44093
4.15		100000			4.11724e-10			1.4447
4.2		100000			4.19158e-10			1.44846
4.25		100000			4.26655e-10			1.4522
4.3		100000			4.34215e-10			1.45593
4.35		100000			4.41838e-10			1.45965
4.4		100000			4.49524e-10			1.46335
4.45		100000			4.57273e-10			1.46704
4.5		100000			4.65085e-10			1.47072
4.55		100000			4.7296e-10			1.47438
4.6		100000			4.80898e-10			1.47802
4.65		100000			4.889e-10			1.48165
4.7		100000			4.96964e-10			1.48527
4.75		100000			5.05092e-10			1.48888
4.8		100000			5.13283e-10			1.49247
4.85		100000			5.21537e-10			1.49604
4.9		100000			5.29855e-10			1.49961
4.95		100000			5.38235e-10			1.50316
5		100000			5.46679e-10			1.50669
5.05		100000			5.55186e-10			1.51021
5.1		100000			5.63757e-10			1.51372
5.15		100000			5.7239e-10			1.51721
5.2		100000			5.81087e-10			1.52069
5.25		100000			5.89847e-10			1.52416
5.3		100000			5.98671e-10			1.52761
5.35		100000			6.07558e-10			1.53105
5.4		100000			6.16509e-10			1.53447
5.45		100000			6.25522e-10			1.53788
5.5		100000			6.346e-10			1.54128
5.55		100000			6.4374e-10			1.54466
5.6		100000			6.52945e-10			1.54803
5.65		100000			6.62212e-10			1.55138
5.7		100000			6.71544e-10			1.55472
5.75		100000			6.80938e-10			1.55805
5.8		100000			6.90397e-10			1.56136
5.85		100000			6.99918e-10			1.56466
5.9		100000			7.09504e-10			1.56795
5.95		100000			7.19153e-10			1.57122
6		100000			7.28866e-10			1.57448
6.05		100000			7.38642e-10			1.57773
6.1		100000			7.48482e-10			1.58096
6.15		100000			7.58385e-10			1.58417
6.2		100000			7.68353e-10			1.58738
6.25		100000			7.78384e-10			1.59057
6.3		100000			7.88479e-10			1.59374
6.35		100000			7.98637e-10			1.59691
6.4		100000			8.08859e-10			1.60005
6.45		100000			8.19145e-10			1.60319
6.5		100000			8.29495e-10			1.60631
6.55		100000			8.39908e-10			1.60942
6.6		100000			8.50386e-10			1.61251
6.65		100000			8.60927e-10			1.61559
6.7		100000			8.71532e-10			1.61866
6.75		100000			8.822e-10			1.62171
6.8		100000			8.92933e-10			1.62475
6.85		100000			9.03729e-10			1.62778
6.9		100000			9.14589e-10			1.63079
6.95		100000			9.25512e-10			1.63379
7		100000			9.365e-10			1.63677
7.05		100000			9.47551e-10			1.63974
7.1		100000			9.58665e-10			1.6427
7.15		100000			9.69844e-10			1.64564
7.2		100000			9.81085e-10			1.64857
7.25		100000			9.92391e-10			1.65149
7.3		100000			1.00376e-09			1.65439
7.35		100000			1.01519e-09			1.65728
7.4		100000			1.02669e-09			1.66016
7.45		100000			1.03825e-09			1.66302
7.5		100000			1.04987e-09			1.66587
7.55		100000			1.06156e-09			1.6687
7.6		100000			1.0733e-09			1.67152
7.65		100000			1.08512e-09			1.67433
7.7		100000			1.09699e-09			1.67713
7.75		100000			1.10893e-09			1.67991
7.8		100000			1.12093e-09			1.68267
7.85		100000			1.13299e-09			1.68543
7.9		100000			1.14512e-09			1.68817
7.95		100000			1.1573e-09			1.69089
8		100000			1.16955e-09			1.69361
8.05		100000			1.18186e-09			1.69631
8.1		100000			1.19424e-09			1.69899
8.15		100000			1.20667e-09			1.70166
8.2		100000			1.21917e-09			1.70432
8.25		100000			1.23173e-09			1.70697
8.3		100000			1.24434e-09			1.7096
8.35		100000			1.25702e-09			1.71222
8.4		100000			1.26976e-09			1.71482
8.45		100000			1.28256e-09			1.71741
8.5		100000			1.29542e-09			1.71999
8.55		100000			1.30834e-09			1.72256
8.6		100000			1.32132e-09			1.72511
8.65		100000			1.33436e-09			1.72764
8.7		100000			1.34746e-09			1.73017
8.75		100000			1.36062e-09			1.73268
8.8		100000			1.37383e-09			1.73518
8.85		100000			1.38711e-09			1.73766
8.9		100000			1.40044e-09			1.74013
8.95		100000			1.41382e-09			1.74259
9		100000			1.42727e-09			1.74503
9.05		100000			1.44077e-09			1.74746
9.1		100000			1.45432e-09			1.74988
9.15		100000			1.46794e-09			1.75228
9.2		100000			1.4816e-09			1.75467
9.25		100000			1.49533e-09			1.75705
9.3		100000			1.5091e-09			1.75941
9.35		100000			1.52293e-09			1.76176
9.4		100000			1.53681e-09			1.7641
9.45		100000			1.55075e-09			1.76643
9.5		100000			1.56474e-09			1.76874
