time		totalmass			KE			PE
0.05		100000			1.19819e-10			3.01513
0.1		100000			4.50489e-10			3.02274
0.15		100000			1.30607e-09			3.03029
0.2		100000			3.6276e-09			3.03777
0.25		100000			8.07655e-09			3.0452
0.3		100000			1.56395e-08			3.05258
0.35		100000			2.72699e-08			3.05992
0.4		100000			4.40718e-08			3.06722
0.45		100000			6.71747e-08			3.07448
0.5		100000			9.7798e-08			3.0817
0.55		100000			1.37338e-07			3.08888
0.6		100000			1.8698e-07			3.09603
0.65		100000			2.48091e-07			3.10315
0.7		100000			3.22077e-07			3.11024
0.75		100000			4.10385e-07			3.1173
0.8		100000			5.14496e-07			3.12432
0.85		100000			6.35926e-07			3.13132
0.9		100000			7.76223e-07			3.13828
0.95		100000			9.36961e-07			3.14522
1		100000			1.11974e-06			3.15213
1.05		100000			1.32618e-06			3.15902
1.1		100000			1.55793e-06			3.16587
1.15		100000			1.81665e-06			3.1727
1.2		100000			2.10403e-06			3.1795
1.25		100000			2.42175e-06			3.18628
1.3		100000			2.77154e-06			3.19303
1.35		100000			3.15511e-06			3.19976
1.4		100000			3.57419e-06			3.20646
1.45		100000			4.03053e-06			3.21313
1.5		100000			4.52588e-06			3.21978
1.55		100000			5.062e-06			3.22641
1.6		100000			5.64065e-06			3.23301
1.65		100000			6.26358e-06			3.23959
1.7		100000			6.93258e-06			3.24614
1.75		100000			7.64942e-06			3.25267
1.8		100000			8.41585e-06			3.25917
1.85		100000			9.23366e-06			3.26566
1.9		100000			1.01046e-05			3.27212
1.95		100000			1.10305e-05			3.27855
2		100000			1.2013e-05			3.28496
2.05		100000			1.30539e-05			3.29135
2.1		100000			1.4155e-05			3.29772
2.15		100000			1.5318e-05			3.30407
2.2		100000			1.65447e-05			3.31039
2.25		100000			1.78367e-05			3.31669
2.3		100000			1.91959e-05			3.32296
2.35		100000			2.06238e-05			3.32922
2.4		100000			2.21222e-05			3.33545
2.45		100000			2.36928e-05			3.34166
2.5		100000			2.53373e-05			3.34784
2.55		100000			2.70573e-05			3.35401
2.6		100000			2.88544e-05			3.36015
2.65		100000			3.07303e-05			3.36627
2.7		100000			3.26866e-05			3.37237
2.75		100000			3.4725e-05			3.37845
2.8		100000			3.68468e-05			3.38451
2.85		100000			3.90539e-05			3.39054
2.9		100000			4.13476e-05			3.39656
2.95		100000			4.37295e-05			3.40255
3		100000			4.62011e-05			3.40852
3.05		100000			4.87639e-05			3.41446
3.1		100000			5.14194e-05			3.42039
3.15		100000			5.4169e-05			3.4263
3.2		100000			5.70142e-05			3.43218
3.25		100000			5.99563e-05			3.43804
3.3		100000			6.29967e-05			3.44389
3.35		100000			6.61368e-05			3.44971
3.4		100000			6.93779e-05			3.45551
3.45		100000			7.27214e-05			3.46128
3.5		100000			7.61684e-05			3.46704
3.55		100000			7.97203e-05			3.47278
3.6		100000			8.33783e-05			3.47849
3.65		100000			8.71436e-05			3.48419
3.7		100000			9.10174e-05			3.48986
3.75		100000			9.50009e-05			3.49551
3.8		100000			9.90951e-05			3.50114
3.85		100000			0.000103301			3.50675
3.9		100000			0.00010762			3.51234
3.95		100000			0.000112054			3.51791
4		100000			0.000116602			3.52346
4.05		100000			0.000121266			3.52899
4.1		100000			0.000126047			3.5345
4.15		100000			0.000130947			3.53998
4.2		100000			0.000135965			3.54545
4.25		100000			0.000141103			3.55089
4.3		100000			0.000146361			3.55632
4.35		100000			0.000151741			3.56172
4.4		100000			0.000157243			3.56711
4.45		100000			0.000162868			3.57247
4.5		100000			0.000168617			3.57781
4.55		100000			0.000174491			3.58314
4.6		100000			0.00018049			3.58844
4.65		100000			0.000186614			3.59372
4.7		100000			0.000192865			3.59898
4.75		100000			0.000199243			3.60422
4.8		100000			0.000205749			3.60944
4.85		100000			0.000212382			3.61464
4.9		100000			0.000219145			3.61982
4.95		100000			0.000226037			3.62498
5		100000			0.000233058			3.63012
5.05		100000			0.000240209			3.63524
5.1		100000			0.000247491			3.64034
5.15		100000			0.000254904			3.64542
5.2		100000			0.000262447			3.65048
5.25		100000			0.000270123			3.65552
5.3		100000			0.00027793			3.66054
5.35		100000			0.000285869			3.66554
5.4		100000			0.000293941			3.67052
5.45		100000			0.000302144			3.67548
5.5		100000			0.000310481			3.68041
5.55		100000			0.000318951			3.68533
5.6		100000			0.000327553			3.69023
5.65		100000			0.000336288			3.69511
5.7		100000			0.000345157			3.69997
5.75		100000			0.000354159			3.70481
5.8		100000			0.000363294			3.70964
5.85		100000			0.000372562			3.71444
5.9		100000			0.000381963			3.71922
5.95		100000			0.000391497			3.72398
6		100000			0.000401165			3.72872
6.05		100000			0.000410965			3.73344
6.1		100000			0.000420898			3.73815
6.15		100000			0.000430964			3.74283
6.2		100000			0.000441163			3.74749
6.25		100000			0.000451493			3.75214
6.3		100000			0.000461956			3.75676
6.35		100000			0.00047255			3.76137
6.4		100000			0.000483276			3.76595
6.45		100000			0.000494133			3.77052
6.5		100000			0.000505121			3.77507
6.55		100000			0.00051624			3.7796
6.6		100000			0.000527489			3.78411
6.65		100000			0.000538868			3.7886
6.7		100000			0.000550376			3.79307
6.75		100000			0.000562013			3.79752
6.8		100000			0.000573779			3.80195
6.85		100000			0.000585673			3.80636
6.9		100000			0.000597695			3.81076
6.95		100000			0.000609844			3.81513
7		100000			0.000622119			3.81949
7.05		100000			0.000634521			3.82383
7.1		100000			0.000647048			3.82814
7.15		100000			0.0006597			3.83244
7.2		100000			0.000672476			3.83672
7.25		100000			0.000685376			3.84099
7.3		100000			0.0006984			3.84523
7.35		100000			0.000711545			3.84945
7.4		100000			0.000724813			3.85366
7.45		100000			0.000738202			3.85785
7.5		100000			0.000751711			3.86201
7.55		100000			0.000765339			3.86616
7.6		100000			0.000779087			3.8703
7.65		100000			0.000792953			3.87441
7.7		100000			0.000806937			3.8785
7.75		100000			0.000821037			3.88258
7.8		100000			0.000835253			3.88664
7.85		100000			0.000849584			3.89068
7.9		100000			0.00086403			3.8947
7.95		100000			0.000878588			3.8987
8		100000			0.00089326			3.90268
8.05		100000			0.000908043			3.90665
8.1		100000			0.000922937			3.9106
8.15		100000			0.000937941			3.91453
8.2		100000			0.000953054			3.91844
8.25		100000			0.000968276			3.92233
8.3		100000			0.000983604			3.92621
8.35		100000			0.000999039			3.93007
8.4		100000			0.00101458			3.93391
8.45		100000			0.00103022			3.93773
8.5		100000			0.00104597			3.94153
8.55		100000			0.00106182			3.94532
8.6		100000			0.00107777			3.94909
8.65		100000			0.00109383			3.95284
8.7		100000			0.00110998			3.95657
8.75		100000			0.00112623			3.96029
8.8		100000			0.00114258			3.96398
8.85		100000			0.00115902			3.96766
8.9		100000			0.00117556			3.97133
8.95		100000			0.00119219			3.97497
9		100000			0.00120892			3.9786
9.05		100000			0.00122574			3.98221
9.1		100000			0.00124265			3.9858
9.15		100000			0.00125965			3.98938
9.2		100000			0.00127674			3.99294
9.25		100000			0.00129391			3.99648
9.3		100000			0.00131117			4
9.35		100000			0.00132852			4.00351
9.4		100000			0.00134596			4.007
9.45		100000			0.00136347			4.01047
9.5		100000			0.00138107			4.01393
9.55		100000			0.00139875			4.01737
9.6		100000			0.00141651			4.02079
9.65		100000			0.00143434			4.0242
9.7		100000			0.00145226			4.02759
9.75		100000			0.00147025			4.03096
9.8		100000			0.00148832			4.03431
9.85		100000			0.00150646			4.03765
9.9		100000			0.00152467			4.04097
9.95		100000			0.00154295			4.04428
10		100000			0.00156131			4.04757
10.05		100000			0.00157973			4.05084
10.1		100000			0.00159822			4.05409
10.15		100000			0.00161678			4.05733
10.2		100000			0.00163541			4.06056
10.25		100000			0.00165409			4.06376
10.3		100000			0.00167285			4.06695
10.35		100000			0.00169166			4.07013
10.4		100000			0.00171053			4.07329
10.45		100000			0.00172947			4.07643
10.5		100000			0.00174846			4.07955
10.55		100000			0.00176751			4.08266
10.6		100000			0.00178661			4.08576
10.65		100000			0.00180577			4.08883
10.7		100000			0.00182498			4.0919
10.75		100000			0.00184425			4.09494
10.8		100000			0.00186356			4.09797
10.85		100000			0.00188293			4.10099
10.9		100000			0.00190234			4.10398
10.95		100000			0.0019218			4.10697
11		100000			0.00194131			4.10994
11.05		100000			0.00196086			4.11289
11.1		100000			0.00198046			4.11582
11.15		100000			0.00200009			4.11874
11.2		100000			0.00201977			4.12165
11.25		100000			0.00203949			4.12454
11.3		100000			0.00205925			4.12741
11.35		100000			0.00207904			4.13027
11.4		100000			0.00209887			4.13312
11.45		100000			0.00211873			4.13595
11.5		100000			0.00213863			4.13876
11.55		100000			0.00215856			4.14156
11.6		100000			0.00217852			4.14434
11.65		100000			0.00219851			4.14711
11.7		100000			0.00221853			4.14986
11.75		100000			0.00223858			4.1526
11.8		100000			0.00225865			4.15533
11.85		100000			0.00227875			4.15804
11.9		100000			0.00229887			4.16073
11.95		100000			0.00231902			4.16341
12		100000			0.00233918			4.16608
