time		totalmass			KE			PE
0.05		100000			3.29955e-11			17.0201
0.1		100000			4.63627e-10			17.0279
0.15		100000			2.41552e-09			17.0357
0.2		100000			7.44176e-09			17.0435
0.25		100000			1.73149e-08			17.0513
0.3		100000			3.40428e-08			17.0591
0.35		100000			5.9787e-08			17.0669
0.4		100000			9.68759e-08			17.0747
0.45		100000			1.47761e-07			17.0824
0.5		100000			2.15234e-07			17.0902
0.55		100000			3.01759e-07			17.0979
0.6		100000			4.1012e-07			17.1057
0.65		100000			5.4319e-07			17.1134
0.7		100000			7.03924e-07			17.1212
0.75		100000			8.95353e-07			17.1289
0.8		100000			1.12058e-06			17.1366
0.85		100000			1.38277e-06			17.1444
0.9		100000			1.68515e-06			17.1521
0.95		100000			2.03101e-06			17.1598
1		100000			2.42369e-06			17.1675
1.05		100000			2.86659e-06			17.1752
1.1		100000			3.36313e-06			17.1829
1.15		100000			3.91679e-06			17.1906
1.2		100000			4.53112e-06			17.1983
1.25		100000			5.20965e-06			17.206
1.3		100000			5.95601e-06			17.2137
1.35		100000			6.77381e-06			17.2214
1.4		100000			7.66673e-06			17.229
1.45		100000			8.63847e-06			17.2367
1.5		100000			9.69276e-06			17.2444
1.55		100000			1.08333e-05			17.252
1.6		100000			1.2064e-05			17.2597
1.65		100000			1.33886e-05			17.2673
1.7		100000			1.48109e-05			17.275
1.75		100000			1.63347e-05			17.2826
1.8		100000			1.7964e-05			17.2903
1.85		100000			1.97027e-05			17.2979
1.9		100000			2.15546e-05			17.3055
1.95		100000			2.35237e-05			17.3132
2		100000			2.56139e-05			17.3208
2.05		100000			2.78292e-05			17.3284
2.1		100000			3.01736e-05			17.336
2.15		100000			3.2651e-05			17.3436
2.2		100000			3.52655e-05			17.3512
2.25		100000			3.80211e-05			17.3588
2.3		100000			4.09218e-05			17.3664
2.35		100000			4.39716e-05			17.374
2.4		100000			4.71745e-05			17.3816
2.45		100000			5.05348e-05			17.3892
2.5		100000			5.40563e-05			17.3968
2.55		100000			5.77432e-05			17.4044
2.6		100000			6.15995e-05			17.4119
2.65		100000			6.56294e-05			17.4195
2.7		100000			6.98369e-05			17.4271
2.75		100000			7.42261e-05			17.4346
2.8		100000			7.88012e-05			17.4422
2.85		100000			8.35661e-05			17.4497
2.9		100000			8.85252e-05			17.4573
2.95		100000			9.36823e-05			17.4648
3		100000			9.90418e-05			17.4724
3.05		100000			0.000104608			17.4799
3.1		100000			0.000110384			17.4874
3.15		100000			0.000116375			17.4949
3.2		100000			0.000122585			17.5025
3.25		100000			0.000129017			17.51
3.3		100000			0.000135677			17.5175
3.35		100000			0.000142568			17.525
3.4		100000			0.000149694			17.5325
3.45		100000			0.000157059			17.54
3.5		100000			0.000164668			17.5475
3.55		100000			0.000172525			17.555
3.6		100000			0.000180633			17.5625
3.65		100000			0.000188997			17.57
3.7		100000			0.000197621			17.5775
3.75		100000			0.00020651			17.5849
3.8		100000			0.000215666			17.5924
3.85		100000			0.000225095			17.5999
3.9		100000			0.0002348			17.6073
3.95		100000			0.000244786			17.6148
4		100000			0.000255057			17.6222
4.05		100000			0.000265616			17.6297
4.1		100000			0.000276468			17.6371
4.15		100000			0.000287617			17.6446
4.2		100000			0.000299067			17.652
4.25		100000			0.000310822			17.6594
4.3		100000			0.000322887			17.6669
4.35		100000			0.000335264			17.6743
4.4		100000			0.000347959			17.6817
4.45		100000			0.000360975			17.6891
4.5		100000			0.000374317			17.6965
4.55		100000			0.000387988			17.704
4.6		100000			0.000401993			17.7114
