time		totalmass			KE			PE
0.05		100000			1.30623e-10			4.19192
0.1		100000			1.13301e-09			4.19954
0.15		100000			4.80264e-09			4.20708
0.2		100000			1.3601e-08			4.21457
0.25		100000			3.02429e-08			4.22201
0.3		100000			5.78503e-08			4.2294
0.35		100000			9.97547e-08			4.23675
0.4		100000			1.59562e-07			4.24406
0.45		100000			2.4105e-07			4.25133
0.5		100000			3.48659e-07			4.25857
0.55		100000			4.86059e-07			4.26577
0.6		100000			6.57526e-07			4.27294
0.65		100000			8.67452e-07			4.28008
0.7		100000			1.12035e-06			4.28719
0.75		100000			1.42083e-06			4.29427
0.8		100000			1.77361e-06			4.30133
0.85		100000			2.18347e-06			4.30835
0.9		100000			2.65527e-06			4.31535
0.95		100000			3.19396e-06			4.32232
1		100000			3.80453e-06			4.32926
1.05		100000			4.49203e-06			4.33618
1.1		100000			5.26155e-06			4.34307
1.15		100000			6.11823e-06			4.34994
1.2		100000			7.06725e-06			4.35678
1.25		100000			8.11383e-06			4.3636
1.3		100000			9.26319e-06			4.37039
1.35		100000			1.05206e-05			4.37716
1.4		100000			1.18914e-05			4.38391
1.45		100000			1.33808e-05			4.39064
1.5		100000			1.49941e-05			4.39734
1.55		100000			1.67367e-05			4.40402
1.6		100000			1.86139e-05			4.41067
1.65		100000			2.0631e-05			4.41731
1.7		100000			2.27933e-05			4.42392
1.75		100000			2.51062e-05			4.43051
1.8		100000			2.7575e-05			4.43708
1.85		100000			3.02051e-05			4.44363
1.9		100000			3.30016e-05			4.45016
1.95		100000			3.597e-05			4.45666
2		100000			3.91154e-05			4.46315
2.05		100000			4.24432e-05			4.46961
2.1		100000			4.59586e-05			4.47605
2.15		100000			4.96668e-05			4.48248
2.2		100000			5.3573e-05			4.48888
2.25		100000			5.76824e-05			4.49526
2.3		100000			6.20001e-05			4.50162
2.35		100000			6.65313e-05			4.50796
2.4		100000			7.12811e-05			4.51428
2.45		100000			7.62546e-05			4.52059
2.5		100000			8.14567e-05			4.52687
2.55		100000			8.68925e-05			4.53313
2.6		100000			9.2567e-05			4.53937
2.65		100000			9.8485e-05			4.5456
2.7		100000			0.000104652			4.5518
2.75		100000			0.000111072			4.55798
2.8		100000			0.00011775			4.56415
2.85		100000			0.000124691			4.57029
2.9		100000			0.0001319			4.57642
2.95		100000			0.000139381			4.58253
3		100000			0.00014714			4.58862
3.05		100000			0.00015518			4.59469
3.1		100000			0.000163506			4.60074
3.15		100000			0.000172124			4.60677
3.2		100000			0.000181037			4.61278
3.25		100000			0.00019025			4.61878
3.3		100000			0.000199767			4.62475
3.35		100000			0.000209592			4.63071
3.4		100000			0.000219731			4.63665
3.45		100000			0.000230186			4.64257
3.5		100000			0.000240963			4.64847
3.55		100000			0.000252066			4.65436
3.6		100000			0.000263498			4.66022
3.65		100000			0.000275265			4.66607
3.7		100000			0.000287369			4.6719
3.75		100000			0.000299814			4.67771
3.8		100000			0.000312606			4.6835
3.85		100000			0.000325747			4.68928
3.9		100000			0.000339242			4.69504
3.95		100000			0.000353093			4.70078
4		100000			0.000367306			4.7065
4.05		100000			0.000381883			4.7122
4.1		100000			0.000396829			4.71789
4.15		100000			0.000412146			4.72356
4.2		100000			0.000427838			4.72921
4.25		100000			0.00044391			4.73484
4.3		100000			0.000460363			4.74046
4.35		100000			0.000477202			4.74606
4.4		100000			0.00049443			4.75164
4.45		100000			0.00051205			4.7572
4.5		100000			0.000530065			4.76275
4.55		100000			0.000548479			4.76827
4.6		100000			0.000567294			4.77379
4.65		100000			0.000586514			4.77928
4.7		100000			0.000606141			4.78476
4.75		100000			0.000626179			4.79022
4.8		100000			0.00064663			4.79566
4.85		100000			0.000667497			4.80108
4.9		100000			0.000688783			4.80649
4.95		100000			0.000710491			4.81188
5		100000			0.000732624			4.81726
5.05		100000			0.000755183			4.82261
5.1		100000			0.000778172			4.82795
5.15		100000			0.000801593			4.83328
5.2		100000			0.000825448			4.83858
5.25		100000			0.000849741			4.84387
5.3		100000			0.000874472			4.84915
5.35		100000			0.000899646			4.8544
5.4		100000			0.000925263			4.85964
5.45		100000			0.000951326			4.86486
5.5		100000			0.000977837			4.87007
5.55		100000			0.0010048			4.87526
5.6		100000			0.00103221			4.88043
5.65		100000			0.00106008			4.88559
5.7		100000			0.0010884			4.89073
5.75		100000			0.00111719			4.89585
5.8		100000			0.00114643			4.90096
5.85		100000			0.00117613			4.90605
5.9		100000			0.0012063			4.91112
5.95		100000			0.00123693			4.91618
6		100000			0.00126803			4.92122
6.05		100000			0.0012996			4.92625
6.1		100000			0.00133163			4.93125
6.15		100000			0.00136414			4.93625
6.2		100000			0.00139712			4.94122
6.25		100000			0.00143058			4.94618
