time		totalmass			KE			PE
0.05		100000			9.51439e-11			9.89509
0.1		100000			9.70247e-10			9.90178
0.15		100000			4.64578e-09			9.90845
0.2		100000			1.51635e-08			9.9151
0.25		100000			3.74654e-08			9.92174
0.3		100000			7.72537e-08			9.92837
0.35		100000			1.40735e-07			9.93499
0.4		100000			2.34608e-07			9.94159
0.45		100000			3.65978e-07			9.94818
0.5		100000			5.42349e-07			9.95476
0.55		100000			7.72168e-07			9.96133
0.6		100000			1.06302e-06			9.9679
0.65		100000			1.42339e-06			9.97445
0.7		100000			1.86203e-06			9.98099
0.75		100000			2.38796e-06			9.98753
0.8		100000			3.01043e-06			9.99405
0.85		100000			3.73895e-06			10.0006
0.9		100000			4.5832e-06			10.0071
0.95		100000			5.55312e-06			10.0136
1		100000			6.65879e-06			10.0201
1.05		100000			7.91049e-06			10.0265
1.1		100000			9.3187e-06			10.033
1.15		100000			1.0894e-05			10.0395
1.2		100000			1.26472e-05			10.0459
1.25		100000			1.45892e-05			10.0524
1.3		100000			1.67311e-05			10.0588
1.35		100000			1.9084e-05			10.0653
1.4		100000			2.16593e-05			10.0717
1.45		100000			2.44685e-05			10.0781
1.5		100000			2.7523e-05			10.0845
1.55		100000			3.08345e-05			10.0909
1.6		100000			3.44149e-05			10.0973
1.65		100000			3.82759e-05			10.1037
1.7		100000			4.24296e-05			10.1101
1.75		100000			4.68881e-05			10.1164
1.8		100000			5.16634e-05			10.1228
1.85		100000			5.67677e-05			10.1292
1.9		100000			6.22135e-05			10.1355
1.95		100000			6.80131e-05			10.1418
2		100000			7.41789e-05			10.1482
2.05		100000			8.07235e-05			10.1545
2.1		100000			8.76594e-05			10.1608
2.15		100000			9.49994e-05			10.1671
2.2		100000			0.000102756			10.1734
2.25		100000			0.000110942			10.1797
2.3		100000			0.000119571			10.186
2.35		100000			0.000128655			10.1923
2.4		100000			0.000138206			10.1986
2.45		100000			0.000148239			10.2048
2.5		100000			0.000158766			10.2111
2.55		100000			0.000169801			10.2173
2.6		100000			0.000181355			10.2236
2.65		100000			0.000193443			10.2298
2.7		100000			0.000206078			10.236
2.75		100000			0.000219272			10.2422
2.8		100000			0.000233039			10.2485
2.85		100000			0.000247393			10.2547
2.9		100000			0.000262346			10.2608
2.95		100000			0.000277912			10.267
3		100000			0.000294104			10.2732
3.05		100000			0.000310936			10.2794
3.1		100000			0.00032842			10.2856
3.15		100000			0.000346571			10.2917
3.2		100000			0.000365402			10.2979
3.25		100000			0.000384926			10.304
3.3		100000			0.000405157			10.3101
3.35		100000			0.000426107			10.3163
3.4		100000			0.000447791			10.3224
3.45		100000			0.000470223			10.3285
3.5		100000			0.000493414			10.3346
3.55		100000			0.00051738			10.3407
3.6		100000			0.000542133			10.3468
3.65		100000			0.000567687			10.3529
3.7		100000			0.000594056			10.3589
3.75		100000			0.000621253			10.365
3.8		100000			0.000649291			10.3711
3.85		100000			0.000678184			10.3771
3.9		100000			0.000707946			10.3832
3.95		100000			0.00073859			10.3892
4		100000			0.00077013			10.3952
4.05		100000			0.000802578			10.4012
4.1		100000			0.000835949			10.4073
4.15		100000			0.000870256			10.4133
4.2		100000			0.000905513			10.4193
4.25		100000			0.000941732			10.4252
4.3		100000			0.000978928			10.4312
4.35		100000			0.00101711			10.4372
4.4		100000			0.0010563			10.4432
4.45		100000			0.00109651			10.4491
4.5		100000			0.00113774			10.4551
4.55		100000			0.00118002			10.461
4.6		100000			0.00122336			10.4669
4.65		100000			0.00126777			10.4729
4.7		100000			0.00131326			10.4788
4.75		100000			0.00135985			10.4847
4.8		100000			0.00140754			10.4906
4.85		100000			0.00145636			10.4965
4.9		100000			0.00150632			10.5024
4.95		100000			0.00155743			10.5082
5		100000			0.0016097			10.5141
5.05		100000			0.00166315			10.52
5.1		100000			0.00171779			10.5258
5.15		100000			0.00177363			10.5317
5.2		100000			0.00183069			10.5375
5.25		100000			0.00188897			10.5433
5.3		100000			0.0019485			10.5492
5.35		100000			0.00200929			10.555
5.4		100000			0.00207134			10.5608
5.45		100000			0.00213468			10.5666
5.5		100000			0.00219931			10.5724
5.55		100000			0.00226524			10.5782
5.6		100000			0.0023325			10.5839
5.65		100000			0.00240109			10.5897
5.7		100000			0.00247103			10.5954
5.75		100000			0.00254233			10.6012
5.8		100000			0.002615			10.6069
5.85		100000			0.00268905			10.6127
5.9		100000			0.00276451			10.6184
5.95		100000			0.00284137			10.6241
6		100000			0.00291965			10.6298
6.05		100000			0.00299938			10.6355
6.1		100000			0.00308055			10.6412
6.15		100000			0.00316318			10.6469
6.2		100000			0.00324728			10.6526
6.25		100000			0.00333287			10.6582
6.3		100000			0.00341996			10.6639
6.35		100000			0.00350857			10.6695
6.4		100000			0.00359869			10.6752
6.45		100000			0.00369035			10.6808
6.5		100000			0.00378356			10.6864
6.55		100000			0.00387833			10.692
6.6		100000			0.00397468			10.6976
6.65		100000			0.00407261			10.7032
6.7		100000			0.00417214			10.7088
6.75		100000			0.00427327			10.7144
6.8		100000			0.00437603			10.72
6.85		100000			0.00448043			10.7255
6.9		100000			0.00458647			10.7311
6.95		100000			0.00469417			10.7366
7		100000			0.00480354			10.7422
7.05		100000			0.00491459			10.7477
7.1		100000			0.00502734			10.7532
7.15		100000			0.00514179			10.7587
7.2		100000			0.00525796			10.7642
7.25		100000			0.00537586			10.7697
7.3		100000			0.0054955			10.7752
7.35		100000			0.0056169			10.7807
7.4		100000			0.00574006			10.7862
7.45		100000			0.005865			10.7916
7.5		100000			0.00599173			10.7971
7.55		100000			0.00612025			10.8025
7.6		100000			0.00625059			10.808
7.65		100000			0.00638275			10.8134
7.7		100000			0.00651675			10.8188
7.75		100000			0.00665259			10.8242
7.8		100000			0.00679029			10.8296
7.85		100000			0.00692986			10.835
7.9		100000			0.00707131			10.8404
7.95		100000			0.00721465			10.8458
8		100000			0.00735989			10.8511
8.05		100000			0.00750704			10.8565
8.1		100000			0.00765612			10.8618
8.15		100000			0.00780714			10.8672
8.2		100000			0.0079601			10.8725
8.25		100000			0.00811502			10.8778
8.3		100000			0.00827191			10.8831
8.35		100000			0.00843078			10.8884
8.4		100000			0.00859164			10.8937
8.45		100000			0.0087545			10.899
8.5		100000			0.00891937			10.9043
8.55		100000			0.00908626			10.9095
8.6		100000			0.00925519			10.9148
8.65		100000			0.00942616			10.92
8.7		100000			0.00959918			10.9253
8.75		100000			0.00977427			10.9305
8.8		100000			0.00995144			10.9357
8.85		100000			0.0101307			10.9409
8.9		100000			0.010312			10.9461
8.95		100000			0.0104955			10.9513
9		100000			0.0106811			10.9565
9.05		100000			0.0108688			10.9617
9.1		100000			0.0110586			10.9669
9.15		100000			0.0112506			10.972
9.2		100000			0.0114447			10.9772
9.25		100000			0.011641			10.9823
9.3		100000			0.0118395			10.9874
9.35		100000			0.0120402			10.9925
9.4		100000			0.0122431			10.9977
9.45		100000			0.0124481			11.0028
9.5		100000			0.0126554			11.0078
