time		totalmass			KE			PE
0.05		100000			1.23949e-11			12.5603
0.1		100000			2.75593e-11			12.5682
0.15		100000			2.32205e-11			12.576
0.2		100000			3.00242e-11			12.5838
0.25		100000			3.16151e-11			12.5916
0.3		100000			3.64246e-11			12.5993
0.35		100000			3.93517e-11			12.6071
0.4		100000			4.35659e-11			12.6149
0.45		100000			4.70421e-11			12.6227
0.5		100000			5.12497e-11			12.6304
0.55		100000			5.49127e-11			12.6382
0.6		100000			5.90339e-11			12.646
0.65		100000			6.29548e-11			12.6537
0.7		100000			6.71362e-11			12.6615
0.75		100000			7.12552e-11			12.6692
0.8		100000			7.55419e-11			12.677
0.85		100000			7.98362e-11			12.6847
0.9		100000			8.4252e-11			12.6924
0.95		100000			8.87108e-11			12.7002
1		100000			9.32691e-11			12.7079
1.05		100000			9.78878e-11			12.7156
1.1		100000			1.02596e-10			12.7233
1.15		100000			1.07373e-10			12.7311
1.2		100000			1.12235e-10			12.7388
1.25		100000			1.1717e-10			12.7465
1.3		100000			1.22188e-10			12.7542
1.35		100000			1.27282e-10			12.7619
1.4		100000			1.32458e-10			12.7696
1.45		100000			1.37712e-10			12.7773
1.5		100000			1.43046e-10			12.785
1.55		100000			1.48459e-10			12.7927
1.6		100000			1.53953e-10			12.8004
1.65		100000			1.59526e-10			12.8081
1.7		100000			1.6518e-10			12.8157
1.75		100000			1.70914e-10			12.8234
1.8		100000			1.76729e-10			12.8311
1.85		100000			1.82623e-10			12.8388
1.9		100000			1.88599e-10			12.8465
1.95		100000			1.94655e-10			12.8541
2		100000			2.00792e-10			12.8618
2.05		100000			2.07009e-10			12.8695
2.1		100000			2.13307e-10			12.8771
2.15		100000			2.19686e-10			12.8848
2.2		100000			2.26146e-10			12.8924
2.25		100000			2.32687e-10			12.9001
2.3		100000			2.39309e-10			12.9077
2.35		100000			2.46012e-10			12.9154
2.4		100000			2.52796e-10			12.923
2.45		100000			2.59661e-10			12.9307
2.5		100000			2.66608e-10			12.9383
2.55		100000			2.73635e-10			12.9459
2.6		100000			2.80744e-10			12.9536
2.65		100000			2.87934e-10			12.9612
2.7		100000			2.95205e-10			12.9688
2.75		100000			3.02558e-10			12.9764
2.8		100000			3.09992e-10			12.9841
2.85		100000			3.17508e-10			12.9917
2.9		100000			3.25104e-10			12.9993
2.95		100000			3.32783e-10			13.0069
3		100000			3.40543e-10			13.0145
3.05		100000			3.48384e-10			13.0221
3.1		100000			3.56307e-10			13.0297
3.15		100000			3.64312e-10			13.0373
3.2		100000			3.72398e-10			13.0449
3.25		100000			3.80566e-10			13.0525
3.3		100000			3.88815e-10			13.0601
3.35		100000			3.97146e-10			13.0677
3.4		100000			4.05559e-10			13.0753
3.45		100000			4.14054e-10			13.0829
3.5		100000			4.2263e-10			13.0905
3.55		100000			4.31289e-10			13.0981
3.6		100000			4.40029e-10			13.1057
3.65		100000			4.48851e-10			13.1132
3.7		100000			4.57754e-10			13.1208
3.75		100000			4.6674e-10			13.1284
3.8		100000			4.75808e-10			13.1359
3.85		100000			4.84957e-10			13.1435
3.9		100000			4.94189e-10			13.1511
3.95		100000			5.03503e-10			13.1586
4		100000			5.12898e-10			13.1662
4.05		100000			5.22376e-10			13.1738
4.1		100000			5.31936e-10			13.1813
4.15		100000			5.41578e-10			13.1889
4.2		100000			5.51302e-10			13.1964
4.25		100000			5.61108e-10			13.204
4.3		100000			5.70996e-10			13.2115
4.35		100000			5.80967e-10			13.219
4.4		100000			5.9102e-10			13.2266
4.45		100000			6.01155e-10			13.2341
4.5		100000			6.11372e-10			13.2416
4.55		100000			6.21672e-10			13.2492
4.6		100000			6.32054e-10			13.2567
4.65		100000			6.42518e-10			13.2642
4.7		100000			6.53065e-10			13.2718
4.75		100000			6.63694e-10			13.2793
4.8		100000			6.74406e-10			13.2868
4.85		100000			6.852e-10			13.2943
4.9		100000			6.96076e-10			13.3018
4.95		100000			7.07035e-10			13.3093
5		100000			7.18077e-10			13.3168
5.05		100000			7.29201e-10			13.3243
