time		totalmass			KE			PE
0.05		100000			1.81446e-11			3.07068
0.1		100000			3.08659e-11			3.07673
0.15		100000			2.50976e-11			3.08277
0.2		100000			3.48885e-11			3.08878
0.25		100000			3.53884e-11			3.09478
0.3		100000			4.20934e-11			3.10076
0.35		100000			4.47452e-11			3.10673
0.4		100000			5.02824e-11			3.11269
0.45		100000			5.39029e-11			3.11863
0.5		100000			5.8984e-11			3.12456
0.55		100000			6.31457e-11			3.13048
0.6		100000			6.82334e-11			3.1364
0.65		100000			7.26332e-11			3.1423
0.7		100000			7.76673e-11			3.14819
0.75		100000			8.23604e-11			3.15407
0.8		100000			8.74719e-11			3.15994
0.85		100000			9.24077e-11			3.1658
0.9		100000			9.7636e-11			3.17166
0.95		100000			1.02794e-10			3.1775
1		100000			1.08164e-10			3.18334
1.05		100000			1.1353e-10			3.18917
1.1		100000			1.19058e-10			3.19498
1.15		100000			1.24623e-10			3.20079
1.2		100000			1.30321e-10			3.2066
1.25		100000			1.3608e-10			3.21239
1.3		100000			1.41954e-10			3.21818
1.35		100000			1.47904e-10			3.22396
1.4		100000			1.5396e-10			3.22973
1.45		100000			1.60099e-10			3.23549
1.5		100000			1.66339e-10			3.24124
1.55		100000			1.72666e-10			3.24699
1.6		100000			1.79093e-10			3.25273
1.65		100000			1.85609e-10			3.25846
1.7		100000			1.92223e-10			3.26419
1.75		100000			1.98928e-10			3.2699
1.8		100000			2.05729e-10			3.27561
1.85		100000			2.12623e-10			3.28132
1.9		100000			2.19613e-10			3.28701
1.95		100000			2.26696e-10			3.2927
2		100000			2.33875e-10			3.29838
2.05		100000			2.41148e-10			3.30405
2.1		100000			2.48516e-10			3.30972
2.15		100000			2.55979e-10			3.31538
2.2		100000			2.63537e-10			3.32103
2.25		100000			2.71189e-10			3.32668
2.3		100000			2.78937e-10			3.33232
2.35		100000			2.86779e-10			3.33795
2.4		100000			2.94717e-10			3.34357
2.45		100000			3.0275e-10			3.34919
2.5		100000			3.10878e-10			3.3548
2.55		100000			3.19101e-10			3.36041
2.6		100000			3.2742e-10			3.366
2.65		100000			3.35833e-10			3.37159
2.7		100000			3.44342e-10			3.37718
2.75		100000			3.52947e-10			3.38275
2.8		100000			3.61647e-10			3.38832
2.85		100000			3.70442e-10			3.39389
2.9		100000			3.79333e-10			3.39944
2.95		100000			3.88319e-10			3.40499
3		100000			3.97401e-10			3.41054
3.05		100000			4.06578e-10			3.41607
3.1		100000			4.15851e-10			3.4216
3.15		100000			4.2522e-10			3.42713
3.2		100000			4.34684e-10			3.43264
3.25		100000			4.44244e-10			3.43815
3.3		100000			4.539e-10			3.44366
3.35		100000			4.63652e-10			3.44915
3.4		100000			4.73499e-10			3.45464
3.45		100000			4.83442e-10			3.46013
3.5		100000			4.93481e-10			3.4656
3.55		100000			5.03616e-10			3.47108
3.6		100000			5.13846e-10			3.47654
3.65		100000			5.24173e-10			3.482
3.7		100000			5.34595e-10			3.48745
3.75		100000			5.45114e-10			3.49289
3.8		100000			5.55728e-10			3.49833
3.85		100000			5.66439e-10			3.50376
3.9		100000			5.77245e-10			3.50919
3.95		100000			5.88148e-10			3.51461
4		100000			5.99146e-10			3.52002
4.05		100000			6.10241e-10			3.52543
4.1		100000			6.21432e-10			3.53083
4.15		100000			6.32719e-10			3.53622
4.2		100000			6.44103e-10			3.5416
4.25		100000			6.55582e-10			3.54699
4.3		100000			6.67158e-10			3.55236
4.35		100000			6.7883e-10			3.55773
4.4		100000			6.90598e-10			3.56309
4.45		100000			7.02463e-10			3.56844
4.5		100000			7.14424e-10			3.57379
4.55		100000			7.26481e-10			3.57913
4.6		100000			7.38635e-10			3.58447
4.65		100000			7.50885e-10			3.5898
4.7		100000			7.63232e-10			3.59512
4.75		100000			7.75675e-10			3.60044
4.8		100000			7.88214e-10			3.60575
4.85		100000			8.0085e-10			3.61105
4.9		100000			8.13583e-10			3.61635
4.95		100000			8.26412e-10			3.62164
5		100000			8.39337e-10			3.62692
5.05		100000			8.52359e-10			3.6322
5.1		100000			8.65478e-10			3.63748
5.15		100000			8.78694e-10			3.64274
5.2		100000			8.92006e-10			3.648
5.25		100000			9.05414e-10			3.65325
5.3		100000			9.1892e-10			3.6585
5.35		100000			9.32522e-10			3.66374
5.4		100000			9.46221e-10			3.66898
5.45		100000			9.60016e-10			3.67421
5.5		100000			9.73908e-10			3.67943
5.55		100000			9.87897e-10			3.68464
5.6		100000			1.00198e-09			3.68985
5.65		100000			1.01617e-09			3.69506
5.7		100000			1.03045e-09			3.70025
5.75		100000			1.04482e-09			3.70544
5.8		100000			1.0593e-09			3.71063
5.85		100000			1.07387e-09			3.7158
5.9		100000			1.08853e-09			3.72098
5.95		100000			1.1033e-09			3.72614
6		100000			1.11816e-09			3.7313
6.05		100000			1.13312e-09			3.73645
6.1		100000			1.14817e-09			3.7416
6.15		100000			1.16332e-09			3.74674
6.2		100000			1.17857e-09			3.75188
6.25		100000			1.19392e-09			3.757
6.3		100000			1.20936e-09			3.76213
6.35		100000			1.2249e-09			3.76724
6.4		100000			1.24054e-09			3.77235
6.45		100000			1.25627e-09			3.77745
6.5		100000			1.2721e-09			3.78255
6.55		100000			1.28803e-09			3.78764
6.6		100000			1.30406e-09			3.79273
6.65		100000			1.32018e-09			3.7978
6.7		100000			1.3364e-09			3.80288
6.75		100000			1.35272e-09			3.80794
6.8		100000			1.36913e-09			3.813
6.85		100000			1.38565e-09			3.81806
6.9		100000			1.40226e-09			3.8231
6.95		100000			1.41896e-09			3.82814
7		100000			1.43577e-09			3.83318
7.05		100000			1.45267e-09			3.83821
7.1		100000			1.46966e-09			3.84323
7.15		100000			1.48676e-09			3.84825
7.2		100000			1.50395e-09			3.85326
7.25		100000			1.52124e-09			3.85826
7.3		100000			1.53863e-09			3.86326
7.35		100000			1.55612e-09			3.86825
7.4		100000			1.5737e-09			3.87323
7.45		100000			1.59138e-09			3.87821
7.5		100000			1.60916e-09			3.88318
7.55		100000			1.62703e-09			3.88815
7.6		100000			1.64501e-09			3.89311
7.65		100000			1.66308e-09			3.89807
7.7		100000			1.68124e-09			3.90301
7.75		100000			1.69951e-09			3.90796
7.8		100000			1.71787e-09			3.91289
7.85		100000			1.73633e-09			3.91782
7.9		100000			1.75489e-09			3.92274
7.95		100000			1.77354e-09			3.92766
8		100000			1.7923e-09			3.93257
8.05		100000			1.81115e-09			3.93748
8.1		100000			1.8301e-09			3.94237
8.15		100000			1.84914e-09			3.94727
8.2		100000			1.86829e-09			3.95215
8.25		100000			1.88753e-09			3.95703
8.3		100000			1.90687e-09			3.96191
8.35		100000			1.9263e-09			3.96677
8.4		100000			1.94584e-09			3.97164
8.45		100000			1.96547e-09			3.97649
8.5		100000			1.9852e-09			3.98134
8.55		100000			2.00503e-09			3.98618
8.6		100000			2.02495e-09			3.99102
8.65		100000			2.04498e-09			3.99585
8.7		100000			2.0651e-09			4.00068
8.75		100000			2.08532e-09			4.00549
8.8		100000			2.10563e-09			4.01031
8.85		100000			2.12605e-09			4.01511
8.9		100000			2.14656e-09			4.01991
8.95		100000			2.16717e-09			4.02471
9		100000			2.18788e-09			4.02949
9.05		100000			2.20868e-09			4.03427
9.1		100000			2.22959e-09			4.03905
9.15		100000			2.25059e-09			4.04382
9.2		100000			2.27169e-09			4.04858
9.25		100000			2.29289e-09			4.05334
9.3		100000			2.31419e-09			4.05809
9.35		100000			2.33558e-09			4.06283
9.4		100000			2.35707e-09			4.06757
9.45		100000			2.37866e-09			4.0723
9.5		100000			2.40035e-09			4.07703
9.55		100000			2.42214e-09			4.08175
9.6		100000			2.44402e-09			4.08646
9.65		100000			2.466e-09			4.09117
9.7		100000			2.48808e-09			4.09587
9.75		100000			2.51026e-09			4.10056
9.8		100000			2.53254e-09			4.10525
9.85		100000			2.55492e-09			4.10994
9.9		100000			2.57739e-09			4.11461
9.95		100000			2.59996e-09			4.11928
10		100000			2.62263e-09			4.12395
10.05		100000			2.6454e-09			4.12861
10.1		100000			2.66827e-09			4.13326
10.15		100000			2.69123e-09			4.1379
10.2		100000			2.71429e-09			4.14254
10.25		100000			2.73746e-09			4.14718
10.3		100000			2.76072e-09			4.1518
10.35		100000			2.78407e-09			4.15643
10.4		100000			2.80753e-09			4.16104
10.45		100000			2.83109e-09			4.16565
